topic_id,top_words,human_label
0,"jack, paul, mickey, doc, war, nothin, fuckin, gun, goddamn, goin",
1,"president, war, bill, general, american, mike, government, army, states, fbi",
2,"peter, bruce, elizabeth, charlie, dude, movie, santa, jerry, wedding, scott",
3,"team, yah, spider, miles, steve, ball, jordan, baseball, all, mark",
4,"shall, lord, king, perhaps, dear, queen, war, master, upon, fear",
5,"parents, frank, sex, wow, totally, dollars, weird, husband, daughter, bye",
6,"max, hiccup, dragon, sister, buzz, whoa, woody, thor, david, toothless",
7,"eddie, movie, film, ted, david, joe, music, bill, sam, brian",
8,"john, caesar, walter, ellie, mary, jimmy, hospital, jane, danny, jay",
9,"elvis, frank, ethan, ray, colonel, jimmy, milton, benjamin, sam, music",
10,"george, jedi, rose, master, jamie, sergeant, war, force, simone, tom",
11,"bobby, ricky, arthur, jack, michael, paul, george, chef, mary, tommy",
12,"law, que, husband, court, gun, kane, hotel, government, american, david",
13,"rocky, rick, julie, creed, apollo, fred, howard, ring, mon, champion",
14,"willie, tony, coach, team, carl, football, bender, molly, mike, jack",
15,"fuckin, harry, goin, doin, cops, jake, outta, gun, cop, mon",
16,"batman, blaze, wayne, eric, ring, master, rain, gotham, bruce, gandalf",
17,"turns, int, pulls, toward, walks, gandhi, camera, ext, starts, sits",
18,"captain, ship, earth, space, planet, system, mission, team, human, plane",
19,"charlie, henry, indy, phil, elsa, frank, mason, song, nicole, grail",
