feature_set,target,task,metric,value,ci_lo,ci_hi,ci_alpha,bootstrap_iter,n_train
dialogue_only,log_roi,regression,r2,0.050726510686123216,0.02401250091079387,0.07999324206313797,0.05,1000,1199
dialogue_only,log_roi,regression,mae,0.9552642432922376,0.9014662107267217,1.009862808915023,0.05,1000,1199
dialogue_only,log_roi,regression,rmse,1.3396716788815324,1.2242733903882497,1.4698423852096227,0.05,1000,1199
dialogue_only,roi_gt_1,classification,auc_roc,0.5593481294737316,0.5211352432717483,0.5985027271935836,0.05,1000,1199
dialogue_only,roi_gt_1,classification,pr_auc,0.8470858971465322,0.8231404478779604,0.8741799397874668,0.05,1000,1199
dialogue_only,roi_gt_2,classification,auc_roc,0.581890864873081,0.5519632439207905,0.6165591935207584,0.05,1000,1199
dialogue_only,roi_gt_2,classification,pr_auc,0.7230037767841317,0.6924382400278597,0.7608344522394672,0.05,1000,1199
with_budget,log_roi,regression,r2,0.07804094749301316,0.030395211977290282,0.1223628418322073,0.05,1000,1199
with_budget,log_roi,regression,mae,0.9605323831998744,0.9088628559541361,1.0100573628291247,0.05,1000,1199
with_budget,log_roi,regression,rmse,1.3202571149725058,1.2133384431598897,1.4319899059372634,0.05,1000,1199
with_budget,roi_gt_1,classification,auc_roc,0.5648043938234367,0.5266793225129703,0.6042730505092426,0.05,1000,1199
with_budget,roi_gt_1,classification,pr_auc,0.8496017118439314,0.8253204761730896,0.8770122852952046,0.05,1000,1199
with_budget,roi_gt_2,classification,auc_roc,0.5711141510867913,0.5394409374737199,0.6053008225791775,0.05,1000,1199
with_budget,roi_gt_2,classification,pr_auc,0.7161705350364429,0.6847402237793677,0.7550071039644485,0.05,1000,1199
dialogue_only_logged,log_roi,regression,r2,0.05241826646499492,0.025843401685318186,0.0804412997801935,0.05,1000,1199
dialogue_only_logged,log_roi,regression,mae,0.9483893899901383,0.8954782559295908,1.0024616115762972,0.05,1000,1199
dialogue_only_logged,log_roi,regression,rmse,1.3384773929351568,1.2192725027247864,1.471306267667363,0.05,1000,1199
dialogue_only_logged,roi_gt_1,classification,auc_roc,0.5580695988835367,0.5193952881556981,0.5988767057354161,0.05,1000,1199
dialogue_only_logged,roi_gt_1,classification,pr_auc,0.8463177892645755,0.8211550466792589,0.8739725485418582,0.05,1000,1199
dialogue_only_logged,roi_gt_2,classification,auc_roc,0.6016689466484267,0.5723501122824112,0.6358220165841274,0.05,1000,1199
dialogue_only_logged,roi_gt_2,classification,pr_auc,0.7385877441166906,0.708654339048974,0.7734865196916839,0.05,1000,1199
with_budget_logged,log_roi,regression,r2,0.09922655764724231,0.04147043007498309,0.15601679528198192,0.05,1000,1199
with_budget_logged,log_roi,regression,mae,0.9469278565484316,0.8960515510031891,0.9961250149685364,0.05,1000,1199
with_budget_logged,log_roi,regression,rmse,1.304999925314275,1.202267825187347,1.4087341183872062,0.05,1000,1199
with_budget_logged,roi_gt_1,classification,auc_roc,0.5552109125286995,0.5152766828180306,0.5965219696722125,0.05,1000,1199
with_budget_logged,roi_gt_1,classification,pr_auc,0.8445865045714501,0.8193370819787837,0.8724185961764033,0.05,1000,1199
with_budget_logged,roi_gt_2,classification,auc_roc,0.6029761361909105,0.5730447448500272,0.6372920008522408,0.05,1000,1199
with_budget_logged,roi_gt_2,classification,pr_auc,0.7382682661396591,0.7068233029548991,0.7727964007518693,0.05,1000,1199
