primary_genre_bucketed,n,mean_residual,mean_abs_error
Drama,299,-0.07729942710021634,1.0321832520708805
Comedy,219,-0.03501265564842375,1.0600029701321478
Action,168,-0.04108914421490605,0.7366328794679057
Horror,103,0.41069425766769135,0.9060580881535533
Adventure,86,0.05758826415351431,0.8902577396098034
Crime,73,-0.2130711346041838,0.9562569641027032
Thriller,59,-0.21274379316108863,0.8527207786417269
Science Fiction,45,-0.3494349339250569,0.8110500355800625
Animation,32,0.27647955745477115,0.6767277705048299
Fantasy,32,0.15384227378654974,0.6830674564717569
Romance,27,0.3688989600331898,0.9040461482518173
Mystery,19,0.12872463995444886,1.2122918190387442
Family,12,0.03209202299062347,0.7727966452784395
Music,8,0.3581426874269148,0.9539919289760382
History,6,0.3878572437092484,0.7943093564806035
War,6,0.7244594096977268,0.7891046423854834
Other,5,0.3600980728091502,0.9400398315302926
