slice,n,n_pos,linear,histgb,random_forest,svm_rbf,lightgbm,xgboost
Action,168,103,0.5879014189693801,0.5663928304705003,0.6194174757281553,0.6376400298730395,0.6255414488424198,0.6310679611650486
Adventure,86,63,0.7239475500345066,0.6004140786749482,0.621808143547274,0.7653554175293306,0.6728778467908902,0.6266390614216701
Animation,32,27,0.6074074074074074,0.5333333333333333,0.6814814814814815,0.6296296296296295,0.6592592592592592,0.5925925925925926
Comedy,219,141,0.5855610110929259,0.6208401527550464,0.6031096563011455,0.6117475904709947,0.6156573922531369,0.6318421531187488
Crime,73,45,0.65,0.6404761904761905,0.6595238095238095,0.6420634920634921,0.6341269841269842,0.7063492063492064
Drama,299,169,0.5955393718707328,0.6345926263086027,0.6238962221210742,0.5942649066909422,0.6329540282203003,0.6495220755575785
Family,12,8,0.4375,0.53125,0.40625,0.65625,0.6875,0.625
Fantasy,32,24,0.7447916666666667,0.6354166666666666,0.5260416666666667,0.765625,0.5572916666666666,0.5364583333333334
History,6,4,0.0,0.25,0.0,0.125,0.0,0.125
Horror,103,82,0.5441347270615563,0.6300813008130082,0.6242740998838561,0.5743321718931474,0.6631823461091754,0.6533101045296167
Music,8,6,0.4166666666666667,0.8333333333333334,0.75,0.5833333333333334,0.8333333333333334,0.6666666666666666
Mystery,19,12,0.511904761904762,0.6785714285714285,0.5119047619047619,0.6309523809523809,0.5476190476190477,0.6071428571428572
Other,5,4,0.0,0.0,0.0,0.0,0.0,0.0
Romance,27,19,0.43421052631578944,0.5592105263157895,0.5723684210526315,0.5328947368421052,0.5197368421052632,0.4934210526315789
Science Fiction,45,25,0.788,0.6799999999999999,0.6859999999999999,0.674,0.6200000000000001,0.6759999999999999
Thriller,59,37,0.5724815724815725,0.5466830466830467,0.5626535626535627,0.558968058968059,0.6449631449631449,0.6277641277641278
War,6,5,0.8,0.6,0.8,1.0,1.0,1.0
