target,conformity_score,fold,level,empirical_coverage,n_eval,mean_width,median_width
log_roi,absolute,0,0.5,0.4423076923076923,52,1.329501007397544,1.3295010073975442
log_roi,absolute,0,0.8,0.8269230769230769,52,2.9559726228595364,2.9559726228595355
log_roi,absolute,0,0.9,0.9230769230769231,52,4.07977419253976,4.079774192539761
log_roi,absolute,0,0.95,0.9807692307692307,52,5.525473641415772,5.525473641415771
log_roi,absolute,1,0.5,0.4807692307692308,52,1.3423139950838703,1.34231399508387
log_roi,absolute,1,0.8,0.8461538461538461,52,3.067181740153778,3.067181740153777
log_roi,absolute,1,0.9,0.9423076923076923,52,4.093185616543578,4.093185616543579
log_roi,absolute,1,0.95,1.0,52,5.864920620114111,5.864920620114111
log_roi,absolute,2,0.5,0.49019607843137253,51,1.3708581579330767,1.370858157933077
log_roi,absolute,2,0.8,0.7254901960784313,51,2.8346965296466045,2.8346965296466045
log_roi,absolute,2,0.9,0.8431372549019608,51,3.8836178016991667,3.8836178016991676
log_roi,absolute,2,0.95,0.9803921568627451,51,5.525473641415771,5.525473641415771
log_roi,absolute,3,0.5,0.5686274509803921,51,1.4777503536968772,1.477750353696877
log_roi,absolute,3,0.8,0.9215686274509803,51,3.12646669759617,3.126466697596171
log_roi,absolute,3,0.9,0.9411764705882353,51,4.093185616543578,4.093185616543579
log_roi,absolute,3,0.95,0.9411764705882353,51,4.795170229585172,4.795170229585171
log_roi,absolute,4,0.5,0.5098039215686274,51,1.393969497417015,1.393969497417015
log_roi,absolute,4,0.8,0.7450980392156863,51,2.840388379939524,2.840388379939524
log_roi,absolute,4,0.9,0.8627450980392157,51,3.972035206853999,3.9720352068539992
log_roi,absolute,4,0.95,0.9019607843137255,51,4.604682844446777,4.604682844446776
