target,conformity_score,fold,level,empirical_coverage,n_eval,mean_set_size,singleton_rate,refer_rate,empty_rate
roi_gt_1,lac,0,0.5,0.5769230769230769,52,0.7115384615384616,0.7115384615384616,0.0,0.28846153846153844
roi_gt_1,lac,0,0.8,0.8653846153846154,52,1.2884615384615385,0.7115384615384616,0.28846153846153844,0.0
roi_gt_1,lac,0,0.9,0.8653846153846154,52,1.2884615384615385,0.7115384615384616,0.28846153846153844,0.0
roi_gt_1,lac,0,0.95,0.8846153846153846,52,1.5961538461538463,0.40384615384615385,0.5961538461538461,0.0
roi_gt_1,lac,1,0.5,0.5769230769230769,52,0.6730769230769231,0.6730769230769231,0.0,0.3269230769230769
roi_gt_1,lac,1,0.8,0.8461538461538461,52,1.2307692307692308,0.7692307692307693,0.23076923076923078,0.0
roi_gt_1,lac,1,0.9,0.9615384615384616,52,1.5192307692307692,0.4807692307692308,0.5192307692307693,0.0
roi_gt_1,lac,1,0.95,1.0,52,1.75,0.25,0.75,0.0
roi_gt_1,lac,2,0.5,0.5882352941176471,51,0.6862745098039216,0.6862745098039216,0.0,0.3137254901960784
roi_gt_1,lac,2,0.8,0.9019607843137255,51,1.3137254901960784,0.6862745098039216,0.3137254901960784,0.0
roi_gt_1,lac,2,0.9,0.9215686274509803,51,1.4901960784313726,0.5098039215686274,0.49019607843137253,0.0
roi_gt_1,lac,2,0.95,0.9803921568627451,51,1.7647058823529411,0.23529411764705882,0.7647058823529411,0.0
roi_gt_1,lac,3,0.5,0.6078431372549019,51,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
roi_gt_1,lac,3,0.8,0.9215686274509803,51,1.2941176470588236,0.7058823529411765,0.29411764705882354,0.0
roi_gt_1,lac,3,0.9,0.9607843137254902,51,1.4901960784313726,0.5098039215686274,0.49019607843137253,0.0
roi_gt_1,lac,3,0.95,0.9803921568627451,51,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0
roi_gt_1,lac,4,0.5,0.6078431372549019,51,0.7647058823529411,0.7647058823529411,0.0,0.23529411764705882
roi_gt_1,lac,4,0.8,0.8235294117647058,51,1.1568627450980393,0.8431372549019608,0.1568627450980392,0.0
roi_gt_1,lac,4,0.9,0.9019607843137255,51,1.4705882352941178,0.5294117647058824,0.47058823529411764,0.0
roi_gt_1,lac,4,0.95,0.9803921568627451,51,1.7450980392156863,0.2549019607843137,0.7450980392156863,0.0
roi_gt_2,lac,0,0.5,0.6153846153846154,52,0.9807692307692307,0.9807692307692307,0.0,0.019230769230769232
roi_gt_2,lac,0,0.8,0.9423076923076923,52,1.6346153846153846,0.36538461538461536,0.6346153846153846,0.0
roi_gt_2,lac,0,0.9,1.0,52,1.9615384615384615,0.038461538461538464,0.9615384615384616,0.0
roi_gt_2,lac,0,0.95,1.0,52,1.9615384615384615,0.038461538461538464,0.9615384615384616,0.0
roi_gt_2,lac,1,0.5,0.5961538461538461,52,1.0,1.0,0.0,0.0
roi_gt_2,lac,1,0.8,0.8269230769230769,52,1.5961538461538463,0.40384615384615385,0.5961538461538461,0.0
roi_gt_2,lac,1,0.9,0.8269230769230769,52,1.5961538461538463,0.40384615384615385,0.5961538461538461,0.0
roi_gt_2,lac,1,0.95,0.9038461538461539,52,1.8269230769230769,0.17307692307692307,0.8269230769230769,0.0
roi_gt_2,lac,2,0.5,0.5882352941176471,51,0.9607843137254902,0.9607843137254902,0.0,0.0392156862745098
roi_gt_2,lac,2,0.8,0.9215686274509803,51,1.6470588235294117,0.35294117647058826,0.6470588235294118,0.0
roi_gt_2,lac,2,0.9,1.0,51,2.0,0.0,1.0,0.0
roi_gt_2,lac,2,0.95,1.0,51,2.0,0.0,1.0,0.0
roi_gt_2,lac,3,0.5,0.6078431372549019,51,1.0,1.0,0.0,0.0
roi_gt_2,lac,3,0.8,0.8823529411764706,51,1.6862745098039216,0.3137254901960784,0.6862745098039216,0.0
roi_gt_2,lac,3,0.9,0.8823529411764706,51,1.803921568627451,0.19607843137254902,0.803921568627451,0.0
roi_gt_2,lac,3,0.95,0.8823529411764706,51,1.803921568627451,0.19607843137254902,0.803921568627451,0.0
roi_gt_2,lac,4,0.5,0.5882352941176471,51,0.9607843137254902,0.9607843137254902,0.0,0.0392156862745098
roi_gt_2,lac,4,0.8,0.8235294117647058,51,1.5294117647058822,0.47058823529411764,0.5294117647058824,0.0
roi_gt_2,lac,4,0.9,0.8431372549019608,51,1.5686274509803921,0.43137254901960786,0.5686274509803921,0.0
roi_gt_2,lac,4,0.95,0.9411764705882353,51,1.8823529411764706,0.11764705882352941,0.8823529411764706,0.0
